project_id,period_end,PV,EV,AC,CPI,SPI,CV,SV,ml_risk
P020,2024-10-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-11-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-12-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2025-01-31 22:40:50.524289,2747.652388614814,0.0,,,0.0,,-2747.652388614814,0.45
P020,2025-02-28 22:40:50.524289,,0.0,,,,,,0.0
P020,2025-03-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2025-04-30 22:40:50.524289,6677.445934800001,5935.5074976000005,9270.25,0.6402748035489874,0.8888888888888888,-3334.7425023999995,-741.9384372000004,0.24784885804805698
P020,2025-05-31 22:40:50.524289,92383.02554468717,30031.448307079245,35104.275,0.8554926232511352,0.3250753926927035,-5072.826692920757,-62351.577237607926,0.3831951305001591
P021,2024-04-30 22:40:51.823791,,0.0,4750.0,0.0,,-4750.0,,0.55
P021,2024-05-31 22:40:51.823791,,0.0,420.0,0.0,,-420.0,,0.55
P021,2024-06-30 22:40:51.823791,14560.068998458064,0.0,118730.0,0.0,0.0,-118730.0,-14560.068998458064,1.0
P021,2024-07-31 22:40:51.823791,70964.15786077753,31307.716703284204,223782.0,0.13990274777812425,0.4411764705882353,-192474.2832967158,-39656.441157493326,0.7245240769573258
P021,2024-08-31 22:40:51.823791,6494.545454545455,1948.3636363636365,92723.0,0.021012732939655065,0.3,-90774.63636363637,-4546.181818181818,0.8534429968831898
P021,2024-09-30 22:40:51.823791,6342.930142070811,5441.686470805354,93792.0,0.058018663327419756,0.8579136690647482,-88350.31352919465,-901.2436712654571,0.5820285840907825
P021,2024-10-31 22:40:51.823791,,0.0,5698.0,0.0,,-5698.0,,0.55
P021,2024-11-30 22:40:51.823791,,0.0,39399.0,0.0,,-39399.0,,0.55
P021,2024-12-31 22:40:51.823791,4259.236242589776,8090.029834646793,67367.0,0.12008891348355712,1.8994085732440493,-59276.97016535321,3830.793592057016,0.48395109758404364
P021,2025-01-31 22:40:51.823791,19168.27140410959,14952.70883076923,109135.0,0.13701112228679369,0.7800760180995474,-94182.29116923077,-4215.562573340359,0.5736096745974671
P021,2025-02-28 22:40:51.823791,754.9157303370787,0.0,3838.0,0.0,0.0,-3838.0,-754.9157303370787,1.0
P021,2025-03-31 22:40:51.823791,1083.5235920852358,0.0,52649.0,0.0,0.0,-52649.0,-1083.5235920852358,1.0
P021,2025-04-30 22:40:51.823791,123627.64942497354,61740.50547586922,813335.0,0.07591030199840068,0.499406934961891,-751594.4945241308,-61887.14394910432,0.7335162131680287
P022,2021-04-30 22:40:53.848007,2220.0,0.0,23188.920000000002,0.0,0.0,-23188.920000000002,-2220.0,1.0
P022,2021-05-31 22:40:53.848007,3346.0,3346.0,5728.34,0.5841133731587161,1.0,-2382.34,0.0,0.22873764476270614
P022,2021-06-30 22:40:53.848007,,0.0,857.5,0.0,,-857.5,,0.55
P022,2021-07-31 22:40:53.848007,,0.0,13933.58,0.0,,-13933.58,,0.55
